@relation R_data_frame

@attribute V1 {1,2,3,4}
@attribute V2 numeric
@attribute V3 {1,2,3,4,5}
@attribute V4 {1,2,3,4,5,6,7,8,9,10}
@attribute V5 numeric
@attribute V6 {1,2,3,4,5}
@attribute V7 {1,2,3,4,5}
@attribute V8 numeric
@attribute V9 {1,2,3,4}
@attribute V10 {1,2,3}
@attribute V11 numeric
@attribute V12 {1,2,3,4}
@attribute V13 numeric
@attribute V14 {1,2,3}
@attribute V15 {1,2,3}
@attribute V16 numeric
@attribute V17 {1,2,3,4}
@attribute V18 numeric
@attribute V19 {1,2}
@attribute V20 {1,2}
@attribute Class {1,2}

@data
1,6,5,5,1169,5,5,4,3,1,4,1,67,3,2,2,3,1,2,1,1
2,48,3,5,5951,1,3,2,2,1,2,1,22,3,2,1,3,1,1,1,2
4,12,5,8,2096,1,4,2,3,1,3,1,49,3,2,1,2,2,1,1,1
1,42,3,4,7882,1,4,2,3,3,4,2,45,3,3,1,3,2,1,1,1
1,24,4,1,4870,1,3,3,3,1,4,4,53,3,3,2,3,2,1,1,2
4,36,3,8,9055,5,3,2,3,1,4,4,35,3,3,1,2,2,2,1,1
4,24,3,4,2835,3,5,3,3,1,4,2,53,3,2,1,3,1,1,1,1
2,36,3,2,6948,1,3,2,3,1,2,3,35,3,1,1,4,1,2,1,1
4,12,3,5,3059,4,4,2,1,1,4,1,61,3,2,1,2,1,1,1,1
2,30,5,1,5234,1,1,4,4,1,2,3,28,3,2,2,4,1,1,1,2
2,12,3,1,1295,1,2,3,2,1,1,3,25,3,1,1,3,1,1,1,2
1,48,3,10,4308,1,2,3,2,1,4,2,24,3,1,1,3,1,1,1,2
2,12,3,5,1567,1,3,1,2,1,1,3,22,3,2,1,3,1,2,1,1
1,24,5,1,1199,1,5,4,3,1,4,3,60,3,2,2,2,1,1,1,2
1,15,3,1,1403,1,3,2,2,1,4,3,28,3,1,1,3,1,1,1,1
1,24,3,5,1282,2,3,4,2,1,2,3,32,3,2,1,2,1,1,1,2
4,24,5,5,2424,5,5,4,3,1,4,2,53,3,2,2,3,1,1,1,1
1,30,1,10,8072,5,2,2,3,1,3,3,25,1,2,3,3,1,1,1,1
2,24,3,2,12579,1,5,4,2,1,2,4,44,3,3,1,4,1,2,1,2
4,24,3,5,3430,3,5,3,3,1,2,3,31,3,2,1,3,2,2,1,1
4,9,5,1,2134,1,3,4,3,1,4,3,48,3,2,3,3,1,2,1,1
1,6,3,5,2647,3,3,2,3,1,3,1,44,3,1,1,3,2,1,1,1
1,10,5,1,2241,1,2,1,3,1,3,1,48,3,1,2,2,2,1,2,1
2,12,5,2,1804,2,2,3,3,1,4,2,44,3,2,1,3,1,1,1,1
4,10,5,4,2069,5,3,2,4,1,1,3,26,3,2,2,3,1,1,2,1
1,6,3,4,1374,1,3,1,3,1,2,1,36,1,2,1,2,1,2,1,1
4,6,1,5,426,1,5,4,4,1,4,3,39,3,2,1,2,1,1,1,1
3,12,2,5,409,4,3,3,2,1,3,1,42,3,1,2,3,1,1,1,1
